"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Spry3",116.700947706128,-0.803141361256402,0.419884619637396,-1.91276680234198,0.0557779128645055,0.9642704811202
"Tmlhe",566.783266553775,-0.354929180995771,0.238452674736808,-1.48846802153729,0.136627509472625,0.999958958199752
"AC123873.3",1.2944253583288,2.03455194863225,2.91138717983764,0.698825619183262,0.484661015874622,NA
"AC125178.2",0.576337757759106,-2.58278853713237,1.8784219385729,-1.37497783862906,0.169138315375982,NA
"CAAA01147332.1",132.684994404901,-0.262212163653565,0.26512398233869,-0.989017143377829,0.322654754091648,0.999958958199752
"CT868723.1",2.73840403090261,0.591244195393203,0.662184075609692,0.892869848687961,0.371926875430157,0.999958958199752
"Gm10931",2.5809485420843,-0.366282711342301,0.554306268756064,-0.660794820459612,0.508743904924549,0.999958958199752
"CR974586.4",0.358967813070987,0.22510690617088,1.24785642009051,0.180394877605032,0.856842575439305,NA
"AC087559.3",0.833802648860932,-3.14145603120944,2.96321715665278,-1.06015045983265,0.289076154700588,NA
"AC132444.5",3.09275177942105,-0.0967504634978397,0.677990683662702,-0.142701759521481,0.886525727044476,0.999958958199752
"AC168977.2",23.1171017717541,-0.151620155662287,0.387794677083792,-0.390980497211741,0.695811651724036,0.999958958199752
"AC168977.1",110.115149910044,-0.0249354302120973,0.294900013393563,-0.0845555411312218,0.93261474546469,0.999958958199752
"AC133103.5",1.10999880773521,-0.245596817231423,1.27365245231799,-0.192828755430453,0.847093082524732,NA
"AC133103.6",5.037229692298,0.0307337810214032,0.954693395945124,0.0321923050394389,0.974318692689251,0.999958958199752
"AC125149.2",0.961037969261529,0.263007294861633,0.898515094191382,0.292713273891437,0.769741322983013,NA
"AC125149.1",14.3579835084705,0.0608206188351768,0.725331730184629,0.0838521414466388,0.93317399107722,0.999958958199752
"AC149090.1",8249.9031835457,0.0670389770411726,0.123900005785222,0.541073235762259,0.588457104984423,0.999958958199752
"Gm21060",4.07921423983469,-0.47426038027041,0.477232587189365,-0.993771995042377,0.320333883117507,0.999958958199752
"Csf2ra",359.682435290335,-0.188655662478715,0.169227289505046,-1.11480638276777,0.264933400701341,0.999958958199752
"Zfp950",1145.13671785664,-0.0320562051253559,0.110022647588454,-0.291360059296736,0.770775958092604,0.999958958199752
"Prdx3",1696.38847108226,0.101117752439841,0.136613366059053,0.740174664872335,0.459194018278046,0.999958958199752
"Sfxn4",22.6168258919442,-0.345917474367187,0.197818283758279,-1.74866280201822,0.0803493235592731,0.999958958199752
"Gm26158",0.62219755150436,-0.819612186213783,1.04719979288345,-0.782670309699924,0.433820741624206,NA
"Nanos1",23.7858387577856,-0.0403805688994612,0.180801325327248,-0.223342217355835,0.823269172266488,0.999958958199752
"Rab11fip2",320.993754518691,0.0450812201388418,0.129946393944392,0.346921671086412,0.728650165399594,0.999958958199752
"Gm29261",0.818145288291119,0.112275761123056,0.970796478679829,0.115653243072882,0.907927364114989,NA
"1810035K13Rik",11.5973397050161,1.15617522701999,0.657467203289133,1.758529126983,0.0786575200914306,0.999958958199752
"Pnlip",437838.243286751,0.186253862555719,0.652490927997184,0.285450501399957,0.775299021607584,0.999958958199752
"6720468P15Rik",2.3746298026404,1.63326852789142,0.775873154411396,2.10507158110204,0.0352850775912136,0.875594072885089
"Trub1",350.714353421306,0.0236439036497734,0.0979179714416338,0.241466436668031,0.809193626603946,0.999958958199752
"Gm50270",0.32560928961228,-0.16306159504099,1.60084098156212,-0.10185995793403,0.918867833531961,NA
"Ccdc186",2235.54902489678,-0.0629077297617328,0.158848976138051,-0.396022255170606,0.692088610348532,0.999958958199752
"Adrb1",45.0258163518967,-0.0831308815143775,0.207504859791941,-0.400621371459591,0.688698908570885,0.999958958199752
"Casp7",5502.4029718501,-0.156807923416161,0.189973869539659,-0.825418378833545,0.409134104174425,0.999958958199752
"Gm31912",0.820313395095457,-0.587609215945152,1.21032384108991,-0.485497513967834,0.627323475733838,NA
"D730002M21Rik",5.92044607068235,-1.06260688418001,0.528474701131631,-2.01070530321438,0.0443565935500896,0.918238860627298
"Acsl5",27701.0856375069,-0.246476255026417,0.25422982579373,-0.969501726466967,0.332294919233365,0.999958958199752
"Gm50191",0.444044354720594,-0.448918449860077,1.58558951207341,-0.283124003054892,0.777081782275953,NA
"Adra2a",180.151114498951,0.300191050751323,0.215021174715617,1.39609994759052,0.162684399614163,0.999958958199752
"Bbip1",521.932256156511,-0.0076072791747593,0.105648185297391,-0.0720057723030968,0.942597314144509,0.999958958199752
"Gm16299",29.8656558112764,0.014284345814173,0.264016153557546,0.0541040600042663,0.956852257571935,0.999958958199752
"Nutf2-ps1",396.601838689089,0.00981837557041523,1.1106702253867,0.00884004571833803,0.992946755868949,0.999958958199752
"Dusp5",359.77168682763,-0.110584665014535,0.185837553482249,-0.5950609171418,0.551802752073428,0.999958958199752
"4833407H14Rik",63.1658199136695,0.264236661444346,0.334670225566068,0.78954338109227,0.429794485315105,0.999958958199752
"Mirt1",53.540545086511,-0.0143836525766627,0.18075472265818,-0.0795755284572193,0.936574858942914,0.999958958199752
"Smndc1",505.475834218738,0.0102375754175088,0.0766803291357678,0.133509800138996,0.893790214266297,0.999958958199752
"1700001K23Rik",2.16952243490791,0.140642185157294,0.786634267221529,0.178789802348755,0.858102752812349,0.999958958199752
"Mir6407",1.12231783182049,0.235647999452056,0.70097266253098,0.336172880981134,0.736740501892824,NA
"Gm50331",565.165136257843,0.138969862847461,0.212737845560248,0.653244665900805,0.51359855906025,0.999958958199752
"Ins1",362.805882096425,-0.0359482071777799,0.818438970128186,-0.0439228928360408,0.964965867063676,0.999958958199752
"Gm50317",0.401408306795169,-1.16528934336592,1.58354477659405,-0.735873945965876,0.461807414356532,NA
"Gm45352",0.396228281597119,-1.77650667906882,1.68557074538597,-1.05394963927309,0.291905974581603,NA
"Itprip",158.070423607611,-0.185225781747815,0.148169231496843,-1.25009612236372,0.211264436119529,0.999958958199752
"Gsto2",6.41983461356358,0.621462934554679,0.43766673964828,1.41994553905125,0.155623536787428,0.999958958199752
"Gsto1",9076.21971319441,0.119163033576859,0.151084737003846,0.788716556946615,0.430277688681625,0.999958958199752
"Sfr1",954.044240900225,-0.200693986892953,0.140523760473648,-1.42818542726508,0.153238493956069,0.999958958199752
"Gm50281",0.885594434923711,0.714840899674007,0.809792634151003,0.882745618479792,0.377373728579759,NA
"Col17a1",9.97836639090687,0.141273175375246,0.309304196164165,0.456745097956137,0.647854271750096,0.999958958199752
"Gm50358",185.06741492018,0.0777146252583735,0.167808088556542,0.46311608651801,0.643281159974734,0.999958958199752
"Gm19557",19.2111970285887,0.161020910087762,0.305350013661098,0.527332251134186,0.597962881663591,0.999958958199752
"Stn1",188.954266415268,0.0902763815830377,0.108545179388536,0.831694065932627,0.40558165098904,0.999958958199752
"Gm50339",0.629133923848563,0.394472239895045,1.1398079383019,0.346086587607677,0.72927764286606,NA
"Calhm3",0.892817200540426,-1.42025091682896,1.07371261844746,-1.32274771892183,0.185919288677505,NA
"Pdcd11",1507.34843671925,0.0545253018612171,0.107307677960214,0.508121160551374,0.611368376258791,0.999958958199752
"Atp5md",3255.33924745759,0.0082068242691618,0.164787961042464,0.049802329109752,0.960279910627093,0.999958958199752
"Taf5",264.768467468249,-0.00491856424467216,0.0749667986993154,-0.065609901049664,0.947688406202758,0.999958958199752
"Ina",11.3061330884715,-0.478636985956578,0.254499429361216,-1.88069964305201,0.0600127882674112,0.979395660430517
